,0
0,1007_s_at
1,1053_at
2,117_at
3,121_at
4,1255_g_at
5,1294_at
6,1316_at
7,1320_at
8,1405_i_at
9,1431_at
10,1438_at
11,1487_at
12,1494_f_at
13,1598_g_at
14,160020_at
15,1729_at
16,1773_at
17,177_at
18,179_at
19,1861_at
20,200000_s_at
21,200001_at
22,200002_at
23,200003_s_at
24,200004_at
25,200005_at
26,200006_at
27,200007_at
28,200008_s_at
29,200009_at
30,200010_at
31,200011_s_at
32,200012_x_at
33,200013_at
34,200014_s_at
35,200015_s_at
36,200016_x_at
37,200017_at
38,200018_at
39,200019_s_at
40,200020_at
41,200021_at
42,200022_at
43,200023_s_at
44,200024_at
45,200025_s_at
46,200026_at
47,200027_at
48,200028_s_at
49,200029_at
50,200030_s_at
51,200031_s_at
52,200032_s_at
53,200033_at
54,200034_s_at
55,200035_at
56,200036_s_at
57,200037_s_at
58,200038_s_at
59,200039_s_at
60,200040_at
61,200041_s_at
62,200042_at
63,200043_at
64,200044_at
65,200045_at
66,200046_at
67,200047_s_at
68,200048_s_at
69,200049_at
70,200050_at
71,200051_at
72,200052_s_at
73,200053_at
74,200054_at
75,200055_at
76,200056_s_at
77,200057_s_at
78,200058_s_at
79,200059_s_at
80,200060_s_at
81,200061_s_at
82,200062_s_at
83,200063_s_at
84,200064_at
85,200065_s_at
86,200066_at
87,200067_x_at
88,200068_s_at
89,200069_at
90,200070_at
91,200071_at
92,200072_s_at
93,200073_s_at
94,200074_s_at
95,200075_s_at
96,200076_s_at
97,200077_s_at
98,200078_s_at
99,200079_s_at
100,200080_s_at
101,200081_s_at
102,200082_s_at
103,200083_at
104,200084_at
105,200085_s_at
106,200086_s_at
107,200087_s_at
108,200088_x_at
109,200089_s_at
110,200090_at
111,200091_s_at
112,200092_s_at
113,200093_s_at
114,200094_s_at
115,200095_x_at
116,200096_s_at
117,200097_s_at
118,200098_s_at
119,200099_s_at
120,200593_s_at
121,200594_x_at
122,200595_s_at
123,200596_s_at
124,200597_at
